model,log,alg,time
g-45-20-20-10-5--20-20-20--10--75--11--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--15--rem-30,log,A*-sync,292
g-45-20-20-10-5--20-20-20--10--75--27--rem-30,log,A*-sync,463
g-45-20-20-10-5--20-20-20--10--75--29--all-70,log,A*-sync,13331
g-45-20-20-10-5--20-20-20--10--50--29--rem-50,log,A*-sync,26
g-45-20-20-10-5--20-20-20--10--75--22--all-30,log,A*-sync,40
g-45-20-20-10-5--20-20-20--10--75--8--all-30,log,A*-sync,52690
g-45-20-20-10-5--20-20-20--10--75--28--all-10,log,A*-sync,47
g-45-20-20-10-5--20-20-20--10--25--30--add-50,log,A*-sync,35
g-45-20-20-10-5--20-20-20--10--50--20--rem-10,log,A*-sync,97
g-45-20-20-10-5--20-20-20--10--75--9--rem-10,log,A*-sync,1244
g-45-20-20-10-5--20-20-20--10--50--13--all-10,log,A*-sync,70
g-45-20-20-10-5--20-20-20--10--75--10--rem-50,log,A*-sync,36
g-45-20-20-10-5--20-20-20--10--25--11--rem-10,log,A*-sync,50
g-45-20-20-10-5--20-20-20--10--50--4--add-50,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--14--all-10,log,A*-sync,4117
g-45-20-20-10-5--20-20-20--10--75--7--add-10,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--13--rem-30,log,A*-sync,33
g-45-20-20-10-5--20-20-20--10--50--24--rem-50,log,A*-sync,21
g-45-20-20-10-5--20-20-20--10--25--10--all-30,log,A*-sync,88
g-45-20-20-10-5--20-20-20--10--25--21--rem-70,log,A*-sync,49
g-45-20-20-10-5--20-20-20--10--25--30--add-70,log,A*-sync,47
g-45-20-20-10-5--20-20-20--10--50--25--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--17--rem-10,log,A*-sync,10
g-45-20-20-10-5--20-20-20--10--25--26--add-50,log,A*-sync,394
g-45-20-20-10-5--20-20-20--10--25--18--add-70,log,A*-sync,150
g-45-20-20-10-5--20-20-20--10--50--6--all-10,log,A*-sync,1867
g-45-20-20-10-5--20-20-20--10--25--21--add-30,log,A*-sync,61
